# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.handle.before.change.events.ms,1780690374297000000,1780690386884000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1780690374297000000,1780690386884000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1780690374297000000,1780690386884000000,0
jps.global.handle.changed.events.ms,1780690374297000000,1780690386884000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1780690374297000000,1780690386884000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1780690374297000000,1780690386884000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1780690374297000000,1780690386884000000,0
jps.app.storage.content.writer.save.component.ms,1780690374297000000,1780690386884000000,27
workspaceModel.mutableEntityStorage.instances.count,1780690374297000000,1780690386884000000,5
workspaceModel.mutableEntityStorage.put.entity.ms,1780690374297000000,1780690386884000000,3
workspaceModel.global.apply.state.to.project.ms,1780690374297000000,1780690386884000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1780690374297000000,1780690386884000000,5
workspaceModel.global.updates.ms,1780690374297000000,1780690386884000000,7
jps.save.global.entities.ms,1780690374297000000,1780690386884000000,37
jps.global.initialize.library.bridges.ms,1780690374297000000,1780690386884000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1780690374297000000,1780690386884000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1780690374297000000,1780690386884000000,0
jps.global.get.libraries.ms,1780690374297000000,1780690386884000000,11
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1780690374297000000,1780690386884000000,0
workspaceModel.save.cache.to.file.ms,1780690374297000000,1780690386884000000,33
workspaceModel.do.save.caches.ms,1780690374297000000,1780690386884000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1780690374297000000,1780690386884000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1780690374297000000,1780690386884000000,0
jps.global.get.library.by.name.ms,1780690374297000000,1780690386884000000,0
cacheStateStorage.set.counter,1780690374297000000,1780690386884000000,8
cacheStateStorage.set.duration,1780690374297000000,1780690386884000000,14
cacheStateStorage.get.duration,1780690374297000000,1780690386884000000,0
cacheStateStorage.get.counter,1780690374297000000,1780690386884000000,10
