Module intellij.fullLine.python.local is not enabled because dependency intellij.fullLine.python is not available
Module intellij.fullLine.php.local is not enabled because dependency intellij.fullLine.php is not available
Module intellij.fullLine.go.local is not enabled because dependency intellij.fullLine.go is not available
Module intellij.fullLine.cpp.local is not enabled because dependency intellij.fullLine.cpp is not available
Module intellij.sh.python is not enabled because dependency com.intellij.modules.python is not available
Module intellij.editorconfig.frontend.split is not enabled because dependency intellij.platform.frontend.split is not available
Module intellij.ml.llm.completion is not enabled because dependency intellij.ml.llm.core is not available
Module intellij.ml.llm.xml.completion is not enabled because dependency intellij.ml.llm.completion is not available
Module intellij.ml.llm.vcs.completion is not enabled because dependency intellij.ml.llm.completion is not available
Module intellij.ml.llm.rider.shaderlab.completion is not enabled because dependency intellij.fullLine.rider.shaderlab is not available
Module intellij.ml.llm.rider.godot.completion is not enabled because dependency intellij.fullLine.rider.shaderlab is not available
Module intellij.ml.llm.rider.fsharp.completion is not enabled because dependency intellij.fullLine.rider.fsharp is not available
Module intellij.ml.llm.rider.csharp.completion is not enabled because dependency intellij.fullLine.rider.csharp is not available
Module intellij.ml.llm.rider.cpp.completion is not enabled because dependency intellij.fullLine.rider.cpp is not available
Module intellij.ml.llm.xdebugger.completion is not enabled because dependency intellij.ml.llm.completion is not available
Module intellij.ml.llm.rust.completion is not enabled because dependency intellij.fullLine.rust is not available
Module intellij.ml.llm.cpp.completion is not enabled because dependency intellij.fullLine.cpp is not available
Module intellij.ml.llm.text.completion is not enabled because dependency intellij.ml.llm.completion is not available
Module intellij.ml.llm.terraform.completion is not enabled because dependency intellij.fullLine.terraform is not available
Module intellij.ml.llm.php.completion is not enabled because dependency intellij.fullLine.php is not available
Module intellij.ml.llm.ruby.completion is not enabled because dependency intellij.fullLine.ruby is not available
Module intellij.ml.llm.rbs.completion is not enabled because dependency intellij.fullLine.rbs is not available
Module intellij.ml.llm.go.completion is not enabled because dependency intellij.fullLine.go is not available
Module intellij.ml.llm.python.completion is not enabled because dependency intellij.fullLine.python is not available
Module intellij.ml.llm.erb.completion is not enabled because dependency intellij.fullLine.ruby is not available
Module intellij.ml.llm.chat.completion is not enabled because dependency intellij.fullLine.chat is not available
Module intellij.ml.llm.completion.nextEdits.proxy is not enabled because dependency intellij.ml.llm.completion is not available
Module intellij.ml.llm.experiments is not enabled because dependency intellij.ml.llm.core is not available
Module intellij.llmInstaller.ds.ide is not enabled because dependency intellij.dataspell.ide.impl is not available
Module intellij.llmInstaller.ds is not enabled because dependency intellij.dataWrangler.llm is not available
Module intellij.toml.frontend.split is not enabled because dependency intellij.platform.frontend.split is not available
Module intellij.protoeditor.python is not enabled because dependency com.intellij.modules.python is not available
Module intellij.protoeditor.go is not enabled because dependency org.jetbrains.plugins.go is not available
Module intellij.textmate.frontend.split is not enabled because dependency intellij.platform.frontend.split is not available
Module intellij.ml.llm.html.completion is not enabled because dependency intellij.ml.llm.libraries.grazie is not available
Module intellij.ml.llm.javaee.spring.completion is not enabled because dependency intellij.ml.llm.completion is not available
Module intellij.ml.llm.java.completion is not enabled because dependency intellij.ml.llm.libraries.grazie is not available
Module intellij.yaml.frontend.split is not enabled because dependency intellij.platform.frontend.split is not available
Module intellij.ml.llm.json.completion is not enabled because dependency intellij.ml.llm.completion is not available
Module intellij.ml.llm.yaml.completion is not enabled because dependency intellij.ml.llm.completion is not available
Module intellij.ml.llm.yaml.javaee.spring.completion is not enabled because dependency intellij.ml.llm.completion is not available
Module intellij.ml.llm.yaml.json.completion is not enabled because dependency intellij.ml.llm.completion is not available
Module intellij.yaml.helm is not enabled because dependency org.jetbrains.plugins.go-template is not available
Module intellij.json.frontend.split is not enabled because dependency intellij.platform.frontend.split is not available
Module intellij.code.provenance.core.llm is not enabled because dependency intellij.ml.llm.core is not available
Module intellij.css.watcher is not enabled because dependency com.intellij.plugins.watcher is not available
Module intellij.css.frontend.split is not enabled because dependency intellij.platform.frontend.split is not available
Module intellij.ml.llm.css.completion is not enabled because dependency intellij.ml.llm.css is not available
Module intellij.ml.llm.css.less.completion is not enabled because dependency intellij.ml.llm.css is not available
Module intellij.less/watcher is not enabled because dependency com.intellij.plugins.watcher is not available
Module intellij.ml.llm.css.postcss.completion is not enabled because dependency intellij.ml.llm.css is not available
Module intellij.sass.watcher is not enabled because dependency com.intellij.plugins.watcher is not available
Module intellij.sass.frontend.split is not enabled because dependency intellij.css.frontend.split is not available
Module intellij.ml.llm.css.sass.completion is not enabled because dependency intellij.ml.llm.css is not available
Module intellij.webDeployment/phpStorm is not enabled because dependency com.intellij.modules.phpstorm is not available
Module intellij.ml.llm.markdown.completion is not enabled because dependency intellij.ml.llm.completion is not available
Module intellij.ml.llm.terminal.completion is not enabled because dependency intellij.ml.llm.completion is not available
Module intellij.terminal.frontend.split is not enabled because dependency intellij.platform.frontend.split is not available
Module intellij.groovy/ant is not enabled because dependency AntSupport is not available
Module intellij.ml.llm.properties.completion is not enabled because dependency intellij.ml.llm.completion is not available
Module intellij.spring.boot.rewrite is not enabled because dependency com.intellij.openRewrite is not available
Module intellij.spring.jsf is not enabled because dependency com.intellij.jsf is not available
Module intellij.station.frontend.split is not enabled because dependency com.intellij.jetbrains.client is not available
Module intellij.ml.llm.sql.completion is not enabled because dependency intellij.ml.llm.libraries.grazie is not available
Module intellij.database.frontend.split is not enabled because dependency intellij.platform.frontend.split is not available
Module intellij.ml.llm.kotlin.completion is not enabled because dependency intellij.ml.llm.libraries.grazie is not available
Module intellij.httpClient.injection.graphql is not enabled because dependency com.intellij.lang.jsgraphql is not available
Module intellij.micronaut.rewrite is not enabled because dependency com.intellij.openRewrite is not available
Module intellij.quarkus.rewrite is not enabled because dependency com.intellij.openRewrite is not available
Module intellij.jupyter.py.psi is not enabled because dependency com.intellij.modules.python is not available
Module intellij.fullLine.python.jupyter is not enabled because dependency intellij.fullLine.python is not available
Module intellij.fullLine.python.jupyter.local is not enabled because dependency intellij.fullLine.python is not available
Module intellij.dataspell.jupyter.customCells.sql.common is not enabled because dependency intellij.python.parser is not available
Module intellij.dataspell.jupyter.customCells.sql.frontend is not enabled because dependency intellij.dataspell.jupyter.customCells.sql.common is not available
Module intellij.jupyter.split.frontend.py is not enabled because dependency intellij.platform.frontend.split is not available
Module intellij.jupyter.split.frontend is not enabled because dependency intellij.platform.frontend.split is not available
Module intellij.ml.llm.jupyter.kotlin.completion is not enabled because dependency intellij.ml.llm.libraries.grazie is not available
Module intellij.kotlin.jupyter.k1 is not enabled because dependency kotlin.base.scripting.k1 is not available
Module intellij.jupyter.py is not enabled because dependency intellij.jupyter.py.psi is not available
Module intellij.ml.llm.jupyter.python.completion is not enabled because dependency intellij.fullLine.python is not available
Module intellij.dataspell.jupyter.customCells is not enabled because dependency intellij.jupyter.py is not available
Module intellij.dataspell.jupyter.customCells.sql.backend is not enabled because dependency intellij.dataspell.jupyter.customCells.sql.common is not available
